county Name,01,02,03,04,05
Berkeley,,25.818181818181817,39.39344262295082,40.46666666666667,
Berkshire,40.83870967741935,33.357142857142854,19.903225806451612,,
Bibb,22.70967741935484,31.535714285714285,,,
Billings,21.133333333333333,37.925925925925924,38.333333333333336,,
Black Hawk,52.774193548387096,54.285714285714285,50.774193548387096,47.6,
Blount,36.03225806451613,35.392857142857146,46.16129032258065,,
Boone,25.516129032258064,26.892857142857142,35.225806451612904,,
Bossier,30.967741935483872,24.25,42.16129032258065,45.96666666666667,
Botetourt,3.5483870967741935,3.7142857142857144,8.129032258064516,,
Boulder,35.1,41.642857142857146,43.87096774193548,15.0,
Box Elder,44.70967741935484,37.892857142857146,43.61290322580645,46.13333333333333,
Bremer,,,40.16129032258065,46.733333333333334,
Brewster,37.3,35.464285714285715,45.354838709677416,,
Bristol,41.38709677419355,38.5,43.483870967741936,,
Bristol City,33.0,24.7,,,
Bronx,47.45161290322581,44.67857142857143,38.61290322580645,,
Brooke,18.29032258064516,14.75,11.193548387096774,,
Broward,38.32258064516129,36.392857142857146,53.903225806451616,,
Brown,30.419354838709676,29.964285714285715,38.225806451612904,,
Brunswick,11.419354838709678,8.642857142857142,11.774193548387096,,
Bryan,,23.4,43.774193548387096,,
Buncombe,29.0,20.857142857142858,28.06451612903226,,
Burke,29.833333333333332,35.592592592592595,44.833333333333336,,
Burleigh,38.166666666666664,32.07142857142857,47.13333333333333,,
Butler,35.70967741935484,37.07142857142857,41.16129032258065,,
Butte,32.25806451612903,35.392857142857146,41.96774193548387,,
Cabell,,,37.25806451612903,,
Cache,51.03225806451613,40.17857142857143,48.83870967741935,44.46666666666667,
Caddo,34.7,27.857142857142858,42.935483870967744,43.892857142857146,
Calcasieu,38.935483870967744,41.714285714285715,49.645161290322584,54.36666666666667,
Calvert,,,39.516129032258064,,
Campbell,12.903225806451612,12.357142857142858,13.903225806451612,,
Canadian,31.2,28.642857142857142,39.516129032258064,,
Carbon,35.0,41.142857142857146,46.193548387096776,,
Carlton,21.655172413793103,20.571428571428573,13.566666666666666,,
Carroll,23.258064516129032,23.454545454545453,34.74626865671642,9.75,
Carter,27.29032258064516,29.892857142857142,39.25806451612903,,
Carteret,32.83870967741935,34.107142857142854,,,
Cass,28.08695652173913,31.92452830188679,36.34426229508197,,
Catawba,39.096774193548384,33.964285714285715,28.838709677419356,,
Cecil,39.67857142857143,36.214285714285715,40.774193548387096,,
Centre,30.166666666666668,33.22222222222222,,,
Cerro Gordo,15.7,16.8,12.4,,
Champaign,38.32258064516129,40.464285714285715,39.193548387096776,,
Charles,22.9,26.11111111111111,40.57142857142857,,
Charleston,36.0,32.5,45.645161290322584,43.833333333333336,
Chatham,26.322580645161292,30.071428571428573,,,
Chautauqua,31.419354838709676,34.607142857142854,40.064516129032256,,
Chelan,41.83870967741935,,,,
Chesterfield,24.28,29.487179487179485,40.22222222222222,47.166666666666664,
Claiborne,29.29032258064516,29.928571428571427,,,
Clallam,45.645161290322584,,,,
Clark,36.715053763440864,36.47142857142857,41.00806451612903,,
Clarke,19.181818181818183,,,,
Clear Creek,,,50.1764705882353,,
Clermont,34.41935483870968,35.36,41.903225806451616,,
Cleveland,38.935483870967744,39.25,53.58064516129032,,
Clinton,53.0,53.214285714285715,40.693548387096776,46.733333333333334,
Cochise,42.16129032258065,42.32142857142857,44.645161290322584,,
Coconino,40.03225806451613,43.0,45.064516129032256,,
Colleton,32.25806451612903,30.178571428571427,45.25806451612903,43.03333333333333,
Columbia,21.19047619047619,,,,
Columbiana,2.4838709677419355,4.535714285714286,1.6774193548387097,11.0,
Colusa,12.9,8.285714285714286,6.066666666666666,,
Comanche,33.41935483870968,33.142857142857146,44.483870967741936,,
Contra Costa,58.58064516129032,48.107142857142854,,,
Converse,35.645161290322584,37.92857142857143,40.935483870967744,,
Cook,37.064516129032256,38.107142857142854,34.5,,
Covington City,10.0,6.0,2.7419354838709675,,
Cowlitz,24.032258064516128,,,,
Creek,32.935483870967744,30.785714285714285,44.225806451612904,,
Crittenden,33.67741935483871,33.214285714285715,41.935483870967744,,
Crow Wing,27.06451612903226,22.321428571428573,21.35483870967742,,
Cumberland,37.82258064516129,34.42857142857143,36.86440677966102,43.46666666666667,
Custer,18.322580645161292,15.642857142857142,22.483870967741936,,
Cuyahoga,48.12903225806452,46.642857142857146,40.774193548387096,,
Dakota,41.0,40.57142857142857,34.38709677419355,,
Dane,37.225806451612904,15.5,,,
Darlington,,26.8125,39.12903225806452,42.96666666666667,
Davidson,38.483870967741936,31.555555555555557,34.67741935483871,,
Davis,47.774193548387096,39.25,42.096774193548384,46.53333333333333,
DeKalb,35.69230769230769,32.476190476190474,,,
Delaware,31.612903225806452,33.857142857142854,36.73770491803279,,
Delta,19.333333333333332,17.0,19.125,29.5,
Denali ,34.0,40.25,41.903225806451616,,
