,county Name,01,02,03,04,05,06,07,08,09,10,11,12,Latitude,Longitude
22,Anne Arundel,64.9090909090909,33.884615384615394,28.0,38.03333333333333,35.41935483870968,60.6,86.13333333333334,76.74193548387096,62.36666666666667,31.935483870967737,34.03703703703704,31.451612903225808,38.9530109,-76.5488232
23,Anoka,50.0,53.35714285714285,43.161290322580655,53.66666666666666,47.064516129032256,61.93333333333333,64.38709677419354,52.354838709677416,43.93333333333333,46.161290322580655,40.4,44.29032258064516,45.1977428,-93.3871758
24,Apache,17.612903225806452,18.178571428571427,22.580645161290327,26.14814814814815,28.612903225806452,32.93333333333333,30.612903225806452,13.6,24.32,21.0,24.33333333333333,23.322580645161292,36.192139,-95.93769999999999
26,Archuleta,21.185185185185187,20.37037037037037,24.6,23.34615384615385,21.61111111111111,,,,,18.576923076923077,22.58620689655172,24.903225806451612,37.1604318,-107.0067031
27,Arkansas,42.4,45.5,35.9,44.555555555555564,51.27272727272727,68.8,55.625,64.7,65.7,58.6,35.2,40.1,35.20105,-91.8318334
28,Arlington,41.32258064516129,46.82142857142857,44.387096774193544,52.26666666666666,45.354838709677416,61.3,80.83870967741936,81.2258064516129,60.1,33.935483870967744,39.266666666666666,39.032258064516135,32.735687,-97.10806559999999
29,Armstrong,,,,55.86666666666667,54.064516129032256,81.83333333333333,58.193548387096776,65.83870967741936,59.8,29.548387096774192,,,36.0911292,-95.8712461
30,Aroostook,17.322580645161292,28.214285714285715,23.548387096774192,24.9,11.967741935483868,22.214285714285715,16.032258064516128,14.612903225806454,15.0,14.709677419354836,12.433333333333335,15.35483870967742,46.819941,-68.4766064
31,Ascension,26.806451612903228,30.714285714285715,40.67857142857143,55.82758620689656,65.33333333333333,57.82758620689656,42.63333333333333,65.33333333333333,53.9,45.451612903225815,33.46666666666667,31.0,38.8994855,-94.69813579999999
32,Ashland,29.87096774193548,36.346153846153854,41.12903225806452,44.3,40.483870967741936,39.66666666666666,36.38709677419355,33.774193548387096,37.5,28.935483870967737,25.766666666666666,23.451612903225808,37.1886943,-99.76597939999999
33,Ashley,43.33333333333334,52.77777777777778,37.7,52.88888888888889,52.22222222222222,62.6,51.88888888888889,63.42857142857143,63.0,60.0,48.16666666666666,53.33333333333334,36.0492189,-96.0042895
34,Ashtabula,20.93548387096774,18.428571428571427,12.5,45.63333333333333,50.32258064516129,90.76666666666668,72.48387096774194,66.19354838709678,53.2,33.74193548387097,18.933333333333334,24.75862068965517,41.8650534,-80.7898089
35,Asotin,17.4,37.4,17.2,15.25,15.0,17.25,30.25,39.0,39.2,26.83333333333333,20.2,15.6,46.3393265,-117.0482116
37,Atlantic,30.83333333333333,35.214285714285715,43.67741935483871,52.1,47.903225806451616,56.4,67.54838709677419,58.903225806451616,53.17241379310346,30.064516129032263,34.46666666666667,30.548387096774192,37.09024,-95.712891
