,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Indiana,66.82013134968503,66.97477275048514,66.06814099685676,68.93336097004871,72.186889961985,71.37212643678161,66.20336693338875,65.71403812824957,66.99459831074445,61.12749752720079,60.62776484284051,58.410261431508864,53.36212024644147,53.42430278884462,54.449428021293464,49.73170208199184,45.96472083907194,45.78729055986923,51.36754611754612,52.83678756476684,48.800071530758224,50.15204977414131,52.83795744680851,48.173780745499116,44.42524945036361,49.882069381079454,43.75525394045534,50.38477837104839,44.41172167870531,40.43165801186944,44.41741415239648,42.73374833259226,43.071255411255414,37.9514432382395,38.54553415061296,36.10232703909739,35.664258107881025,36.72671360362548,34.846046673632884
Iowa,42.73930530164534,38.38186923385479,41.15734912995187,46.00399274047187,41.763533709730986,41.78432068109259,41.749845201238394,42.57262974775297,48.03640500568828,44.12957582800697,43.01888412017168,40.65407386523823,39.878769039477774,37.66366366366366,38.315384615384616,40.67113494191242,36.71787549971445,38.097259935818315,37.2949888916317,42.089187245264924,41.90405117270789,40.204972972972975,40.088016112789525,42.10609756097561,38.378790882061445,43.024072612470405,38.90825878926565,45.064672594987876,40.83604021655066,39.55172413793103,43.28692449355433,43.69424393855265,45.032660550458715,41.39235485034259,40.99496402877698,38.83160157649588,36.745759685770395,39.36702021212728,43.80484429065744
Kansas,49.5153488372093,62.895121951219515,52.05464480874317,50.82768924302789,45.32380952380952,45.87793427230047,44.294376098418276,47.33479020979021,46.40325670498084,41.3061863743148,35.09270072992701,39.823938761308284,37.13179916317991,34.60059391239792,37.503021148036254,41.41589119541875,34.75581996896017,34.88726723704077,44.47924773022049,46.420533070088844,45.64185110663984,43.4240676662822,40.86626676076217,43.7142035652674,35.729694092827,41.12172532415983,42.6294777139732,39.48416666666667,36.160737138469415,34.49230381024476,36.52620967741935,42.18975139523085,44.04962327877371,36.8797450817401,37.14673278879813,36.40526315789474,35.42881894311291,35.409513087531664,
Kentucky,66.8543350768743,58.37821538461539,58.54431762991744,65.3241937432057,58.70399597044997,55.67972094498177,54.32208220822082,62.05306543019062,64.51310730513806,53.49929027679205,52.688431511710434,50.768642447418735,44.3622758047274,48.29563405002194,50.86922642574817,49.87633189752891,46.38855903174241,46.03391027905334,54.3338318187047,60.66380272260656,51.42513368983957,50.932231235239755,51.80773653946681,47.80798722044729,44.00834581639204,51.833000222074176,46.43754427390791,55.038770053475936,45.97554984927989,40.25460636515913,46.7614995400184,44.51231305521196,46.69961633942677,38.765888528984696,39.872023473648575,39.626968617082426,40.54332048083466,39.387115165336375,32.177358490566036
Louisiana,39.36700829673011,48.820803927585146,42.98484406878461,41.66461599523715,41.83719058160596,47.47757847533632,47.79603277274688,54.80250347705146,51.889429455992925,42.60899479778487,46.21794254533783,39.36801632140615,40.48158955120189,43.16798150163221,42.604733405875955,48.218082990852444,42.89411764705882,46.00716519020323,45.837891399128026,52.18573667711599,53.248008959681435,46.46817348808796,42.47608005857945,46.72948104527052,44.87209870510628,51.48695430826015,51.17697694776773,47.70811818703385,45.079407616361074,43.459375,47.644645999729256,47.84770346494762,45.33342271081914,41.309815950920246,41.20710701207107,39.92155731795241,39.549647838696316,37.37602215774202,37.18724778046812
Maine,65.49681238615665,53.58247422680412,48.97572815533981,52.08762322015334,53.00558659217877,50.69495756365452,47.85033076074973,47.53606237816764,49.179771996492256,43.33774298056156,41.53586723768736,41.00538028857911,37.939707835325365,38.83064716092239,39.96535013326872,37.87553750597229,36.246373186593296,36.19689737470167,36.4096281349092,33.543357664233575,29.273499267935577,34.480669710806694,34.29556943205471,34.33268545513444,33.35614702154626,36.53272727272727,36.67283950617284,37.98428222144604,35.98145780051151,34.09238095238095,35.14212096555465,35.43991481594159,35.35419198055893,36.14764304773199,34.89453357100416,35.53672158614912,32.80005448106783,35.42567567567568,38.833955223880594
Maryland,64.2893600314095,58.50332594235033,58.006682867557714,62.45949142519219,52.51177513294505,59.5477167076839,59.1054114994363,60.32569750367107,65.25022448368752,52.0189205955335,52.59943661971831,61.53633004926108,45.67636464394569,55.072079536039766,51.33296337402886,51.32278835386338,47.504366812227076,51.82790567097136,60.6988567990373,61.15438695163105,54.23839955543207,60.9925393755181,64.6904332129964,53.48709280885065,53.414188990285545,55.59799525191242,54.980572328695196,57.89959016393443,52.48681592039801,45.156493047372145,53.36085766423358,50.460863845647886,51.03724989357173,43.81761945392491,44.25935613682093,45.373291063998415,43.97028144066129,42.02065373563219,36.44876886417792
Massachusetts,62.73776104073947,56.774647887323944,69.21616972477064,71.83402860548271,68.79273504273505,66.75175572519083,63.971068754254595,62.69348778960551,70.54864864864865,60.42298850574713,55.982768523836874,58.023965763195434,54.64104029722778,53.33754668198794,53.23112128146453,47.63651974813967,48.514608859566444,49.42147435897436,50.32023010546501,51.65990783410138,46.42410855159356,52.654434250764524,51.7864476386037,47.46620606788826,45.33287820862916,48.75747688961392,45.851592851592855,48.37444589308996,45.571391884951204,41.146659707724424,42.75146571501402,43.31867576446803,42.28157827312324,41.5854075158614,39.87845891868881,38.86413280908694,38.12396694214876,39.386170212765954,38.701298701298704
Michigan,46.61353293413173,45.971534982708164,42.65072269408434,42.271013103227865,41.11571611956721,39.81342062193126,40.53061966200254,42.0466842626196,43.327060931899645,43.65034836817015,41.41927527983305,49.06793393580555,36.08500870666455,37.970301484925756,42.857571714476315,43.540977901513834,43.58233481684355,42.523034699078615,50.2455627072362,52.02995234853642,42.85417956656347,48.34918254087296,48.885943190094686,46.452391464311994,42.9835215135795,51.39839282954721,44.17245222929936,49.33343989769821,44.900296638101516,41.81749180610661,43.10870301388419,42.188363524715996,47.37484329293773,38.688056079805875,40.25822368421053,39.269354043392504,38.39106901217862,38.00568841420942,24.896296296296295
Minnesota,47.705178309721546,44.664599940950694,44.51989389920424,48.551787016776075,42.758418740849194,40.67442497261774,37.857179619145654,40.558736954776556,43.38992332968237,38.646068660022145,32.68071203244705,34.8828125,31.83233082706767,32.6758304696449,30.887820512820515,30.96059687572861,28.220380739081747,25.863196683555966,29.134023285899094,29.69697739395479,31.517679282868524,31.563106796116504,33.46114388304694,41.15937101572461,38.45623501199041,41.4496776504298,37.21682794817123,38.642822697315545,37.29738033635188,36.465446148771235,36.1303429221518,36.02588466579292,36.34294409738908,35.99068018312622,34.3685731670216,33.91314800901578,30.515946348733234,33.7428400954654,31.618393960192176
Mississippi,35.997091332169866,32.34970414201184,28.147058823529413,31.278622898318655,38.013782542113326,38.41481481481482,42.993640699523056,46.772324471710974,49.28630441690499,39.39610175090849,48.13913851874806,37.36258523569523,37.78363636363636,39.16377497371188,40.166261808367075,45.424993193574736,41.43762662807525,45.12182890855457,47.05132291998725,56.29297820823245,56.99684924866699,49.12954186413902,45.57254623044097,48.99975454099165,47.42633015006821,54.204274891774894,53.4025056215869,50.942067736185386,46.96783980582524,42.623453152622275,46.23134543359262,45.16157894736842,42.761572052401746,38.35490070467649,39.39596879063719,37.28334357713583,37.66792097836312,36.435210834102804,27.442307692307693
Missouri,72.34592245989305,57.27081276735768,55.75145697634556,56.09604357798165,57.13815789473684,54.80560177481974,54.60966129927818,52.43580653329957,56.11706599411517,52.276595744680854,48.293140794223824,50.59427207637231,46.40671011344436,44.21138211382114,50.81736938588451,49.97956656346749,58.260403790688095,51.03492407809111,53.21692272414584,56.429908485856906,49.800106990014264,47.99361077534105,52.33350794482277,50.049391185045444,44.54483378256963,52.058308055274686,50.916811695092235,51.36384122031548,46.96377331420373,43.68933793330048,48.66946688206785,49.69720670391062,51.45932864949258,42.72686613201727,41.37869639263044,37.46309223228873,35.24657733760559,36.05022038199546,
Montana,51.75010752688172,42.168261964735514,48.932642487046635,49.124598587026334,34.74864376130199,46.901904212348526,56.45974416854778,53.35464733025709,49.44419916605347,43.1473164158994,43.46503198294243,39.801092675030354,36.80746738641476,39.274230072463766,41.19204222492895,36.33865077839708,32.93236903831118,31.45028409090909,32.89178587909552,30.940833706857912,33.63945578231292,30.17840670859539,24.846556886227546,25.46554067171423,26.632991490290202,27.899228130360207,30.02019557823129,31.72506448839209,28.881230116648993,32.54376823676532,34.99908088235294,35.82746547364326,38.311874646026055,34.698435027255144,33.97582719012515,37.23301630434783,32.977253437446954,43.60698299015219,21.127777777777776
Nebraska,49.521781219748306,37.53294117647059,43.21643835616438,37.76575342465753,34.91393442622951,34.76100628930818,37.40567612687813,37.26315789473684,44.265306122448976,39.17531305903399,36.405452946350046,35.985915492957744,32.29177057356608,29.219761499148213,31.30844645550528,30.779339423752635,32.17729393468118,33.31692573402418,33.43348623853211,36.60738007380074,36.15810732833237,34.07712215320911,32.818268770923005,33.729001584786054,32.49975037443834,35.37676227515799,33.12615859938208,35.6849593495935,36.56908417151932,29.83951271186441,34.08358817533129,35.24896093100582,39.69376026272578,34.00132802124834,32.00270880361174,32.163549369291,31.772727272727273,33.65734265734266,35.515669515669515
