county Name,01,02,03,04,05,06,07,08,09,10,11,12
Allegan,45.8,50.28,34.03448275862069,47.53333333333333,71.3225806451613,81.96666666666667,87.83870967741936,48.225806451612904,63.3,34.774193548387096,43.57142857142857,42.516129032258064
Allegheny,73.58064516129032,69.25,77.61290322580645,90.1,103.61290322580645,108.33333333333333,117.96774193548387,81.25806451612904,95.56666666666666,85.25806451612904,86.53333333333333,80.61290322580645
Allen,20.333333333333332,22.25925925925926,18.901639344262296,45.266666666666666,75.46774193548387,89.61666666666666,75.11290322580645,52.403225806451616,68.56666666666666,30.06451612903226,15.3,19.537037037037038
Amador,23.032258064516128,32.0,40.483870967741936,49.0,60.064516129032256,74.66666666666667,99.25806451612904,86.66666666666667,112.6,85.3225806451613,34.13333333333333,24.64516129032258
Anchorage ,42.96774193548387,51.714285714285715,37.54838709677419,37.93103448275862,19.571428571428573,18.7,25.952380952380953,20.19047619047619,20.789473684210527,37.96774193548387,51.03333333333333,40.12903225806452
Anderson,26.375,26.464285714285715,44.293103448275865,62.11764705882353,82.78688524590164,83.5,81.25806451612904,113.09677419354838,88.86666666666666,45.779661016949156,21.0,25.016129032258064
Androscoggin,25.142857142857142,29.392857142857142,19.129032258064516,14.866666666666667,15.451612903225806,14.6,9.258064516129032,12.193548387096774,10.4,16.535714285714285,12.766666666666667,20.333333333333332
Anne Arundel,32.41935483870968,35.07142857142857,38.354838709677416,59.833333333333336,86.74193548387096,90.4,134.4516129032258,112.12903225806451,68.06666666666666,47.54838709677419,37.233333333333334,34.903225806451616
Anoka,28.161290322580644,31.214285714285715,41.0,44.8,53.67741935483871,47.2,50.193548387096776,36.45161290322581,36.3,30.129032258064516,22.266666666666666,10.928571428571429
Arapahoe,29.516129032258064,38.96296296296296,42.67741935483871,53.035714285714285,59.0,54.233333333333334,74.16666666666667,63.774193548387096,43.793103448275865,32.806451612903224,32.833333333333336,28.666666666666668
Archuleta,27.387096774193548,29.37037037037037,28.64516129032258,19.482758620689655,22.64516129032258,23.2,22.9,18.193548387096776,16.88,39.0,38.241379310344826,27.70967741935484
Arkansas,,,,,,,60.4,78.4,65.2,53.25,57.5,43.0
Arlington,40.354838709677416,49.357142857142854,34.74193548387097,51.3,71.3225806451613,79.33333333333333,117.19354838709677,97.74193548387096,55.6,37.54838709677419,38.44827586206897,42.354838709677416
Armstrong,,,,49.833333333333336,81.74193548387096,95.13333333333334,106.29032258064517,66.29032258064517,55.96153846153846,34.45161290322581,,
Aroostook,18.8,25.285714285714285,20.857142857142858,25.9,21.833333333333332,18.933333333333334,18.035714285714285,17.903225806451612,17.51851851851852,15.0,14.633333333333333,15.774193548387096
Ascension,16.833333333333332,18.178571428571427,23.580645161290324,27.8,38.774193548387096,24.3,45.53333333333333,80.35483870967742,57.733333333333334,48.43333333333333,27.3,16.166666666666668
Ashley,,,,,,,62.6,68.4,48.0,71.6,69.2,60.25
Ashtabula,23.193548387096776,26.88888888888889,23.516129032258064,45.03333333333333,74.48387096774194,84.53333333333333,90.25806451612904,55.41935483870968,54.266666666666666,38.064516129032256,14.9,15.233333333333333
Asotin,25.8,12.5,18.166666666666668,17.333333333333332,22.6,27.4,38.2,36.8,48.6,36.6,38.75,9.75
Athens,34.285714285714285,46.0,28.142857142857142,46.3,50.55555555555556,64.33333333333333,66.3,60.36363636363637,50.8,46.125,45.44444444444444,38.55555555555556
Atlantic,31.516129032258064,36.714285714285715,44.45161290322581,48.733333333333334,56.516129032258064,47.733333333333334,112.16129032258064,71.7741935483871,44.766666666666666,34.806451612903224,31.233333333333334,27.225806451612904
Avery,,,,66.03333333333333,72.2258064516129,58.37931034482759,45.76923076923077,71.03225806451613,53.53333333333333,40.45161290322581,,
BAJA CALIFORNIA NORTE,163.67741935483872,121.92857142857143,89.7741935483871,87.06666666666666,119.03225806451613,117.3,80.58064516129032,105.74193548387096,91.66666666666667,133.83870967741936,183.73333333333332,147.3548387096774
Baker,31.806451612903224,42.82142857142857,63.38461538461539,53.666666666666664,62.45161290322581,36.0,44.87096774193548,53.285714285714285,46.43333333333333,36.354838709677416,35.93333333333333,28.451612903225808
Baltimore,33.61290322580645,35.57142857142857,39.62068965517241,47.13333333333333,63.806451612903224,74.26666666666667,118.61290322580645,84.70967741935483,50.43333333333333,40.806451612903224,38.5,41.54838709677419
